Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Marcus Morris Sr. (18245602),Marcus Morris Sr.,18245602,UTIL,4000,PHO@LAC 06/30/2021 09:00PM ET,LAC,22.28
SF/PF,Cameron Johnson (18245603),Cameron Johnson,18245603,UTIL,3600,PHO@LAC 06/30/2021 09:00PM ET,PHO,17.75
PF/C,Dario Saric (18245638),Dario Saric,18245638,CPT,3600,PHO@LAC 06/30/2021 09:00PM ET,PHO,15.48
SF/PF,Nicolas Batum (18245604),Nicolas Batum,18245604,UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,21.22
SG/SF,Luke Kennard (18245639),Luke Kennard,18245639,CPT,2700,PHO@LAC 06/30/2021 09:00PM ET,LAC,14.17
PF/C,Dario Saric (18245605),Dario Saric,18245605,UTIL,2400,PHO@LAC 06/30/2021 09:00PM ET,PHO,15.48
PG,Rajon Rondo (18245640),Rajon Rondo,18245640,CPT,2100,PHO@LAC 06/30/2021 09:00PM ET,LAC,15.96
SG/SF,Luke Kennard (18245606),Luke Kennard,18245606,UTIL,1800,PHO@LAC 06/30/2021 09:00PM ET,LAC,14.17
SF/PF,Abdel Nader (18245641),Abdel Nader,18245641,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,12.02
PF/C,Patrick Patterson (18245642),Patrick Patterson,18245642,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,LAC,10.34
PG/SG,Langston Galloway (18245643),Langston Galloway,18245643,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,7.55
PG/SG,Jevon Carter (18245644),Jevon Carter,18245644,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,8.78
PG/SG,Amir Coffey (18245645),Amir Coffey,18245645,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,LAC,4.93
SG/SF,Torrey Craig (18245646),Torrey Craig,18245646,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,13.32
C,Frank Kaminsky (18245647),Frank Kaminsky,18245647,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,14.65
SG/SF,E'Twaun Moore (18245648),E'Twaun Moore,18245648,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,9.83
PF/C,Serge Ibaka (18245649),Serge Ibaka,18245649,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,LAC,24.45
PG,Yogi Ferrell (18245650),Yogi Ferrell,18245650,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,LAC,8.14
PG,Ty-Shon Alexander (18245651),Ty-Shon Alexander,18245651,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,2.13
C,Jalen Smith (18245652),Jalen Smith,18245652,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,PHO,3.94
C,Daniel Oturu (18245653),Daniel Oturu,18245653,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,LAC,4.28
SG,Jay Scrubb (18245654),Jay Scrubb,18245654,CPT,1500,PHO@LAC 06/30/2021 09:00PM ET,LAC,6.75
PG,Rajon Rondo (18245607),Rajon Rondo,18245607,UTIL,1400,PHO@LAC 06/30/2021 09:00PM ET,LAC,15.96
SF/PF,Abdel Nader (18245608),Abdel Nader,18245608,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,12.02
PF/C,Patrick Patterson (18245609),Patrick Patterson,18245609,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,LAC,10.34
PG/SG,Langston Galloway (18245610),Langston Galloway,18245610,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,7.55
PG/SG,Jevon Carter (18245611),Jevon Carter,18245611,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,8.78
PG/SG,Amir Coffey (18245612),Amir Coffey,18245612,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,LAC,4.93
SG/SF,Torrey Craig (18245613),Torrey Craig,18245613,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,13.32
C,Frank Kaminsky (18245614),Frank Kaminsky,18245614,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,14.65
SG/SF,E'Twaun Moore (18245615),E'Twaun Moore,18245615,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,9.83
PF/C,Serge Ibaka (18245616),Serge Ibaka,18245616,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,LAC,24.45
PG,Yogi Ferrell (18245617),Yogi Ferrell,18245617,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,LAC,8.14
PG,Ty-Shon Alexander (18245618),Ty-Shon Alexander,18245618,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,2.13
C,Jalen Smith (18245619),Jalen Smith,18245619,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,PHO,3.94
C,Daniel Oturu (18245620),Daniel Oturu,18245620,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,LAC,4.28
SG,Jay Scrubb (18245621),Jay Scrubb,18245621,UTIL,1000,PHO@LAC 06/30/2021 09:00PM ET,LAC,6.75
