Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Paul George (18245622),Paul George,18245622,CPT,18000,PHO@LAC 06/30/2021 09:00PM ET,LAC,44.91
SF,Kawhi Leonard (18245623),Kawhi Leonard,18245623,CPT,15900,PHO@LAC 06/30/2021 09:00PM ET,LAC,46.26
SG,Devin Booker (18245624),Devin Booker,18245624,CPT,15300,PHO@LAC 06/30/2021 09:00PM ET,PHO,39.70
PG,Chris Paul (18245625),Chris Paul,18245625,CPT,14400,PHO@LAC 06/30/2021 09:00PM ET,PHO,38.57
C,Deandre Ayton (18245626),Deandre Ayton,18245626,CPT,13200,PHO@LAC 06/30/2021 09:00PM ET,PHO,33.62
PG/SG,Reggie Jackson (18245627),Reggie Jackson,18245627,CPT,12300,PHO@LAC 06/30/2021 09:00PM ET,LAC,22.55
SG,Paul George (18245589),Paul George,18245589,UTIL,12000,PHO@LAC 06/30/2021 09:00PM ET,LAC,44.91
SF,Kawhi Leonard (18245590),Kawhi Leonard,18245590,UTIL,10600,PHO@LAC 06/30/2021 09:00PM ET,LAC,46.26
SG,Devin Booker (18245591),Devin Booker,18245591,UTIL,10200,PHO@LAC 06/30/2021 09:00PM ET,PHO,39.70
SF,Mikal Bridges (18245628),Mikal Bridges,18245628,CPT,9900,PHO@LAC 06/30/2021 09:00PM ET,PHO,25.90
PG,Chris Paul (18245592),Chris Paul,18245592,UTIL,9600,PHO@LAC 06/30/2021 09:00PM ET,PHO,38.57
C,Deandre Ayton (18245593),Deandre Ayton,18245593,UTIL,8800,PHO@LAC 06/30/2021 09:00PM ET,PHO,33.62
C,Ivica Zubac (18245629),Ivica Zubac,18245629,CPT,8700,PHO@LAC 06/30/2021 09:00PM ET,LAC,20.80
PG/SG,Reggie Jackson (18245594),Reggie Jackson,18245594,UTIL,8200,PHO@LAC 06/30/2021 09:00PM ET,LAC,22.55
SF/PF,Jae Crowder (18245630),Jae Crowder,18245630,CPT,8100,PHO@LAC 06/30/2021 09:00PM ET,PHO,22.47
SG,Terance Mann (18245631),Terance Mann,18245631,CPT,7500,PHO@LAC 06/30/2021 09:00PM ET,LAC,14.99
C,DeMarcus Cousins (18245632),DeMarcus Cousins,18245632,CPT,7200,PHO@LAC 06/30/2021 09:00PM ET,LAC,21.16
PG,Patrick Beverley (18245633),Patrick Beverley,18245633,CPT,6900,PHO@LAC 06/30/2021 09:00PM ET,LAC,16.37
SF,Mikal Bridges (18245595),Mikal Bridges,18245595,UTIL,6600,PHO@LAC 06/30/2021 09:00PM ET,PHO,25.90
PG,Cameron Payne (18245634),Cameron Payne,18245634,CPT,6300,PHO@LAC 06/30/2021 09:00PM ET,PHO,19.34
SF/PF,Marcus Morris Sr. (18245635),Marcus Morris Sr.,18245635,CPT,6000,PHO@LAC 06/30/2021 09:00PM ET,LAC,22.28
C,Ivica Zubac (18245596),Ivica Zubac,18245596,UTIL,5800,PHO@LAC 06/30/2021 09:00PM ET,LAC,20.80
SF/PF,Jae Crowder (18245597),Jae Crowder,18245597,UTIL,5400,PHO@LAC 06/30/2021 09:00PM ET,PHO,22.47
SF/PF,Cameron Johnson (18245636),Cameron Johnson,18245636,CPT,5400,PHO@LAC 06/30/2021 09:00PM ET,PHO,17.75
SG,Terance Mann (18245598),Terance Mann,18245598,UTIL,5000,PHO@LAC 06/30/2021 09:00PM ET,LAC,14.99
C,DeMarcus Cousins (18245599),DeMarcus Cousins,18245599,UTIL,4800,PHO@LAC 06/30/2021 09:00PM ET,LAC,21.16
PG,Patrick Beverley (18245600),Patrick Beverley,18245600,UTIL,4600,PHO@LAC 06/30/2021 09:00PM ET,LAC,16.37
SF/PF,Nicolas Batum (18245637),Nicolas Batum,18245637,CPT,4500,PHO@LAC 06/30/2021 09:00PM ET,LAC,21.22
PG,Cameron Payne (18245601),Cameron Payne,18245601,UTIL,4200,PHO@LAC 06/30/2021 09:00PM ET,PHO,19.34
