Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jordan Nwora (18234423),Jordan Nwora,18234423,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,MIL,10.09
PF/C,Nathan Knight (18234424),Nathan Knight,18234424,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,ATL,7.52
PG,Donte DiVincenzo (18234425),Donte DiVincenzo,18234425,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,MIL,24.91
PF,De'Andre Hunter (18234426),De'Andre Hunter,18234426,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,ATL,25.11
SG,Elijah Bryant (18234427),Elijah Bryant,18234427,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,MIL,7.39
SF,Axel Toupane (18234428),Axel Toupane,18234428,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,MIL,4.04
PG,Skylar Mays (18234429),Skylar Mays,18234429,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,ATL,6.90
SG/SF,Tony Snell (18234430),Tony Snell,18234430,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,ATL,10.28
PG,Jeff Teague (18234431),Jeff Teague,18234431,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,MIL,12.58
PF,Justin Jackson (18234432),Justin Jackson,18234432,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,MIL,11.97
C,Bruno Fernando (18234433),Bruno Fernando,18234433,CPT,1500,MIL@ATL 06/29/2021 08:30PM ET,ATL,4.84
SF/PF,Solomon Hill (18234382),Solomon Hill,18234382,UTIL,1200,MIL@ATL 06/29/2021 08:30PM ET,ATL,10.65
PG/SF,Kris Dunn (18234383),Kris Dunn,18234383,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,6.12
C,Onyeka Okongwu (18234384),Onyeka Okongwu,18234384,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,10.32
PG/SG,Sam Merrill (18234385),Sam Merrill,18234385,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,5.46
PF,Thanasis Antetokounmpo (18234386),Thanasis Antetokounmpo,18234386,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,7
PF/C,Mamadi Diakite (18234387),Mamadi Diakite,18234387,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,7.06
SG,Brandon Goodwin (18234388),Brandon Goodwin,18234388,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,10.40
SF/PF,Jordan Nwora (18234389),Jordan Nwora,18234389,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,10.09
PF/C,Nathan Knight (18234390),Nathan Knight,18234390,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,7.52
PG,Donte DiVincenzo (18234391),Donte DiVincenzo,18234391,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,24.91
PF,De'Andre Hunter (18234392),De'Andre Hunter,18234392,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,25.11
SG,Elijah Bryant (18234393),Elijah Bryant,18234393,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,7.39
SF,Axel Toupane (18234394),Axel Toupane,18234394,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,4.04
PG,Skylar Mays (18234395),Skylar Mays,18234395,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,6.90
SG/SF,Tony Snell (18234396),Tony Snell,18234396,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,10.28
PG,Jeff Teague (18234397),Jeff Teague,18234397,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,12.58
PF,Justin Jackson (18234398),Justin Jackson,18234398,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,MIL,11.97
C,Bruno Fernando (18234399),Bruno Fernando,18234399,UTIL,1000,MIL@ATL 06/29/2021 08:30PM ET,ATL,4.84
