Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Mikal Bridges (18245197),Mikal Bridges,18245197,SF/F/UTIL,5500,PHO@LAC 06/30/2021 09:00PM ET,PHO,25.90
C,Ivica Zubac (18245200),Ivica Zubac,18245200,C/UTIL,5300,PHO@LAC 06/30/2021 09:00PM ET,LAC,20.80
PG/SG,Bogdan Bogdanovic (18245202),Bogdan Bogdanovic,18245202,PG/SG/G/UTIL,5100,ATL@MIL 07/01/2021 08:30PM ET,ATL,28.95
C,Brook Lopez (18245206),Brook Lopez,18245206,C/UTIL,5000,ATL@MIL 07/01/2021 08:30PM ET,MIL,24.06
SF/PF,Jae Crowder (18245208),Jae Crowder,18245208,SF/PF/F/UTIL,4900,PHO@LAC 06/30/2021 09:00PM ET,PHO,22.47
SG,Terance Mann (18245212),Terance Mann,18245212,SG/G/UTIL,4800,PHO@LAC 06/30/2021 09:00PM ET,LAC,14.99
PF,Danilo Gallinari (18245215),Danilo Gallinari,18245215,PF/F/UTIL,4700,ATL@MIL 07/01/2021 08:30PM ET,ATL,22.16
C,DeMarcus Cousins (18245218),DeMarcus Cousins,18245218,C/UTIL,4600,PHO@LAC 06/30/2021 09:00PM ET,LAC,21.16
PF/C,Bobby Portis (18245220),Bobby Portis,18245220,PF/C/F/UTIL,4500,ATL@MIL 07/01/2021 08:30PM ET,MIL,23.46
PG,Patrick Beverley (18245224),Patrick Beverley,18245224,PG/G/UTIL,4400,PHO@LAC 06/30/2021 09:00PM ET,LAC,16.37
PG,Cameron Payne (18245227),Cameron Payne,18245227,PG/G/UTIL,4300,PHO@LAC 06/30/2021 09:00PM ET,PHO,19.34
SF/PF,Marcus Morris Sr. (18245230),Marcus Morris Sr.,18245230,SF/PF/F/UTIL,4200,PHO@LAC 06/30/2021 09:00PM ET,LAC,22.28
SF/PF,Cameron Johnson (18245234),Cameron Johnson,18245234,SF/PF/F/UTIL,4100,PHO@LAC 06/30/2021 09:00PM ET,PHO,17.75
SF/PF,Nicolas Batum (18245238),Nicolas Batum,18245238,SF/PF/F/UTIL,4000,PHO@LAC 06/30/2021 09:00PM ET,LAC,21.22
SF/PF,P.J. Tucker (18245242),P.J. Tucker,18245242,SF/PF/F/UTIL,3900,ATL@MIL 07/01/2021 08:30PM ET,MIL,12.96
SG/SF,Pat Connaughton (18245246),Pat Connaughton,18245246,SG/SF/F/G/UTIL,3800,ATL@MIL 07/01/2021 08:30PM ET,MIL,16.46
SG/SF,Cam Reddish (18245251),Cam Reddish,18245251,SG/SF/F/G/UTIL,3700,ATL@MIL 07/01/2021 08:30PM ET,ATL,21.47
PG/SG,Lou Williams (18245256),Lou Williams,18245256,PG/SG/G/UTIL,3600,ATL@MIL 07/01/2021 08:30PM ET,ATL,19.11
PF/C,Dario Saric (18245260),Dario Saric,18245260,PF/C/F/UTIL,3500,PHO@LAC 06/30/2021 09:00PM ET,PHO,15.48
SG/SF,Luke Kennard (18245264),Luke Kennard,18245264,SG/SF/F/G/UTIL,3400,PHO@LAC 06/30/2021 09:00PM ET,LAC,14.17
PG/SG,Bryn Forbes (18245269),Bryn Forbes,18245269,PG/SG/G/UTIL,3300,ATL@MIL 07/01/2021 08:30PM ET,MIL,13.89
PG,Rajon Rondo (18245273),Rajon Rondo,18245273,PG/G/UTIL,3200,PHO@LAC 06/30/2021 09:00PM ET,LAC,15.96
PF/C,Patrick Patterson (18245276),Patrick Patterson,18245276,PF/C/F/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,10.34
PF/C,Serge Ibaka (18245280),Serge Ibaka,18245280,PF/C/F/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,24.45
PG,Yogi Ferrell (18245284),Yogi Ferrell,18245284,PG/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,8.14
PG/SG,Amir Coffey (18245287),Amir Coffey,18245287,PG/SG/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,4.93
C,Daniel Oturu (18245291),Daniel Oturu,18245291,C/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,4.28
SG,Jay Scrubb (18245293),Jay Scrubb,18245293,SG/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,LAC,6.75
SG/SF,E'Twaun Moore (18245326),E'Twaun Moore,18245326,SG/SF/F/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,9.83
PG/SG,Langston Galloway (18245331),Langston Galloway,18245331,PG/SG/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,7.55
SG/SF,Torrey Craig (18245335),Torrey Craig,18245335,SG/SF/F/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,13.32
C,Frank Kaminsky (18245340),Frank Kaminsky,18245340,C/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,14.65
SF/PF,Abdel Nader (18245342),Abdel Nader,18245342,SF/PF/F/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,12.02
PG/SG,Jevon Carter (18245346),Jevon Carter,18245346,PG/SG/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,8.78
PG,Ty-Shon Alexander (18245350),Ty-Shon Alexander,18245350,PG/G/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,2.13
C,Jalen Smith (18245353),Jalen Smith,18245353,C/UTIL,3000,PHO@LAC 06/30/2021 09:00PM ET,PHO,3.94
PG,Jeff Teague (18245296),Jeff Teague,18245296,PG/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,12.38
PF,Thanasis Antetokounmpo (18245299),Thanasis Antetokounmpo,18245299,PF/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.99
PF,Justin Jackson (18245302),Justin Jackson,18245302,PF/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,11.97
SG,Elijah Bryant (18245305),Elijah Bryant,18245305,SG/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.85
SF,Axel Toupane (18245308),Axel Toupane,18245308,SF/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,4.04
PG,Donte DiVincenzo (18245311),Donte DiVincenzo,18245311,PG/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,24.91
PF/C,Mamadi Diakite (18245314),Mamadi Diakite,18245314,PF/C/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.82
PG/SG,Sam Merrill (18245318),Sam Merrill,18245318,PG/SG/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,5.47
SF/PF,Jordan Nwora (18245322),Jordan Nwora,18245322,SF/PF/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,MIL,9.91
SF/PF,Solomon Hill (18245355),Solomon Hill,18245355,SF/PF/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.65
SG/SF,Tony Snell (18245359),Tony Snell,18245359,SG/SF/F/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.08
PG/SF,Kris Dunn (18245364),Kris Dunn,18245364,PG/SF/F/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,6.29
SG,Brandon Goodwin (18245369),Brandon Goodwin,18245369,SG/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.40
PF,De'Andre Hunter (18245372),De'Andre Hunter,18245372,PF/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,25.11
PG,Skylar Mays (18245375),Skylar Mays,18245375,PG/G/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,6.86
PF/C,Nathan Knight (18245378),Nathan Knight,18245378,PF/C/F/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,7.47
C,Bruno Fernando (18245382),Bruno Fernando,18245382,C/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,4.71
C,Onyeka Okongwu (18245384),Onyeka Okongwu,18245384,C/UTIL,3000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.35
