Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (18245152),Giannis Antetokounmpo,18245152,PF/C/F/UTIL,11200,ATL@MIL 07/01/2021 08:30PM ET,MIL,55.66
SG,Paul George (18245156),Paul George,18245156,SG/G/UTIL,10300,PHO@LAC 06/30/2021 09:00PM ET,LAC,44.91
PG,Trae Young (18245159),Trae Young,18245159,PG/G/UTIL,9800,ATL@MIL 07/01/2021 08:30PM ET,ATL,46.88
SG/SF,Khris Middleton (18245162),Khris Middleton,18245162,SG/SF/F/G/UTIL,9400,ATL@MIL 07/01/2021 08:30PM ET,MIL,39.31
SF,Kawhi Leonard (18245167),Kawhi Leonard,18245167,SF/F/UTIL,9000,PHO@LAC 06/30/2021 09:00PM ET,LAC,46.26
SG,Devin Booker (18245170),Devin Booker,18245170,SG/G/UTIL,8600,PHO@LAC 06/30/2021 09:00PM ET,PHO,39.70
PG/SG,Jrue Holiday (18245173),Jrue Holiday,18245173,PG/SG/G/UTIL,8300,ATL@MIL 07/01/2021 08:30PM ET,MIL,37.39
PG,Chris Paul (18245177),Chris Paul,18245177,PG/G/UTIL,8000,PHO@LAC 06/30/2021 09:00PM ET,PHO,38.57
C,Deandre Ayton (18245180),Deandre Ayton,18245180,C/UTIL,7400,PHO@LAC 06/30/2021 09:00PM ET,PHO,33.62
PG/SG,Reggie Jackson (18245182),Reggie Jackson,18245182,PG/SG/G/UTIL,7000,PHO@LAC 06/30/2021 09:00PM ET,LAC,22.55
PF/C,John Collins (18245186),John Collins,18245186,PF/C/F/UTIL,6700,ATL@MIL 07/01/2021 08:30PM ET,ATL,31.34
C,Clint Capela (18245190),Clint Capela,18245190,C/UTIL,6300,ATL@MIL 07/01/2021 08:30PM ET,ATL,38.14
SG/SF,Kevin Huerter (18245192),Kevin Huerter,18245192,SG/SF/F/G/UTIL,5800,ATL@MIL 07/01/2021 08:30PM ET,ATL,24.55
