Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Sam Merrill (18255122),Sam Merrill,18255122,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,5.47
PF,Thanasis Antetokounmpo (18255123),Thanasis Antetokounmpo,18255123,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.99
SG/SF,Tony Snell (18255124),Tony Snell,18255124,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.08
SG,Brandon Goodwin (18255125),Brandon Goodwin,18255125,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.40
SF,Axel Toupane (18255126),Axel Toupane,18255126,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,4.04
PF,De'Andre Hunter (18255127),De'Andre Hunter,18255127,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,ATL,25.11
PG,Skylar Mays (18255128),Skylar Mays,18255128,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,ATL,6.86
SG,Elijah Bryant (18255129),Elijah Bryant,18255129,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.85
C,Bruno Fernando (18255130),Bruno Fernando,18255130,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,ATL,4.71
PF/C,Mamadi Diakite (18255131),Mamadi Diakite,18255131,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.82
PF,Justin Jackson (18255132),Justin Jackson,18255132,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,11.97
PG,Jeff Teague (18255133),Jeff Teague,18255133,CPT,1500,ATL@MIL 07/01/2021 08:30PM ET,MIL,12.38
PG/SF,Kris Dunn (18255083),Kris Dunn,18255083,UTIL,1400,ATL@MIL 07/01/2021 08:30PM ET,ATL,6.29
PG,Donte DiVincenzo (18255084),Donte DiVincenzo,18255084,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,24.91
PF/C,Nathan Knight (18255085),Nathan Knight,18255085,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,7.47
SF/PF,Solomon Hill (18255086),Solomon Hill,18255086,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.65
SF/PF,Jordan Nwora (18255087),Jordan Nwora,18255087,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,9.91
PG/SG,Sam Merrill (18255088),Sam Merrill,18255088,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,5.47
PF,Thanasis Antetokounmpo (18255089),Thanasis Antetokounmpo,18255089,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.99
SG/SF,Tony Snell (18255090),Tony Snell,18255090,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.08
SG,Brandon Goodwin (18255091),Brandon Goodwin,18255091,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,10.40
SF,Axel Toupane (18255092),Axel Toupane,18255092,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,4.04
PF,De'Andre Hunter (18255093),De'Andre Hunter,18255093,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,25.11
PG,Skylar Mays (18255094),Skylar Mays,18255094,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,6.86
SG,Elijah Bryant (18255095),Elijah Bryant,18255095,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.85
C,Bruno Fernando (18255096),Bruno Fernando,18255096,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,ATL,4.71
PF/C,Mamadi Diakite (18255097),Mamadi Diakite,18255097,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,6.82
PF,Justin Jackson (18255098),Justin Jackson,18255098,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,11.97
PG,Jeff Teague (18255099),Jeff Teague,18255099,UTIL,1000,ATL@MIL 07/01/2021 08:30PM ET,MIL,12.38
