Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (18297319),Giannis Antetokounmpo,18297319,CPT,16800,MIL@PHO 07/06/2021 09:00PM ET,MIL,55.66
SG/SF,Khris Middleton (18297320),Khris Middleton,18297320,CPT,15600,MIL@PHO 07/06/2021 09:00PM ET,MIL,39.73
PG,Chris Paul (18297321),Chris Paul,18297321,CPT,14700,MIL@PHO 07/06/2021 09:00PM ET,PHO,38.92
SG,Devin Booker (18297322),Devin Booker,18297322,CPT,14400,MIL@PHO 07/06/2021 09:00PM ET,PHO,39.70
PG/SG,Jrue Holiday (18297323),Jrue Holiday,18297323,CPT,13800,MIL@PHO 07/06/2021 09:00PM ET,MIL,37.97
C,Deandre Ayton (18297324),Deandre Ayton,18297324,CPT,12600,MIL@PHO 07/06/2021 09:00PM ET,PHO,33.74
PF/C,Giannis Antetokounmpo (18297286),Giannis Antetokounmpo,18297286,UTIL,11200,MIL@PHO 07/06/2021 09:00PM ET,MIL,55.66
C,Brook Lopez (18297325),Brook Lopez,18297325,CPT,11100,MIL@PHO 07/06/2021 09:00PM ET,MIL,24.42
SG/SF,Khris Middleton (18297287),Khris Middleton,18297287,UTIL,10400,MIL@PHO 07/06/2021 09:00PM ET,MIL,39.73
PF/C,Bobby Portis (18297326),Bobby Portis,18297326,CPT,10200,MIL@PHO 07/06/2021 09:00PM ET,MIL,23.74
PG,Chris Paul (18297288),Chris Paul,18297288,UTIL,9800,MIL@PHO 07/06/2021 09:00PM ET,PHO,38.92
SG,Devin Booker (18297289),Devin Booker,18297289,UTIL,9600,MIL@PHO 07/06/2021 09:00PM ET,PHO,39.70
PG/SG,Jrue Holiday (18297290),Jrue Holiday,18297290,UTIL,9200,MIL@PHO 07/06/2021 09:00PM ET,MIL,37.97
SF,Mikal Bridges (18297327),Mikal Bridges,18297327,CPT,9000,MIL@PHO 07/06/2021 09:00PM ET,PHO,25.80
C,Deandre Ayton (18297291),Deandre Ayton,18297291,UTIL,8400,MIL@PHO 07/06/2021 09:00PM ET,PHO,33.74
SF/PF,Jae Crowder (18297328),Jae Crowder,18297328,CPT,8400,MIL@PHO 07/06/2021 09:00PM ET,PHO,22.56
C,Brook Lopez (18297292),Brook Lopez,18297292,UTIL,7400,MIL@PHO 07/06/2021 09:00PM ET,MIL,24.42
SG/SF,Pat Connaughton (18297329),Pat Connaughton,18297329,CPT,7200,MIL@PHO 07/06/2021 09:00PM ET,MIL,16.57
PG,Cameron Payne (18297330),Cameron Payne,18297330,CPT,6900,MIL@PHO 07/06/2021 09:00PM ET,PHO,19.37
PF/C,Bobby Portis (18297293),Bobby Portis,18297293,UTIL,6800,MIL@PHO 07/06/2021 09:00PM ET,MIL,23.74
SF/PF,P.J. Tucker (18297331),P.J. Tucker,18297331,CPT,6600,MIL@PHO 07/06/2021 09:00PM ET,MIL,13.20
