Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Mikal Bridges (18297294),Mikal Bridges,18297294,UTIL,6000,MIL@PHO 07/06/2021 09:00PM ET,PHO,25.80
SG/SF,Torrey Craig (18297332),Torrey Craig,18297332,CPT,5700,MIL@PHO 07/06/2021 09:00PM ET,PHO,13.40
SF/PF,Jae Crowder (18297295),Jae Crowder,18297295,UTIL,5600,MIL@PHO 07/06/2021 09:00PM ET,PHO,22.56
SG/SF,Pat Connaughton (18297296),Pat Connaughton,18297296,UTIL,4800,MIL@PHO 07/06/2021 09:00PM ET,MIL,16.57
PG,Cameron Payne (18297297),Cameron Payne,18297297,UTIL,4600,MIL@PHO 07/06/2021 09:00PM ET,PHO,19.37
SF/PF,P.J. Tucker (18297298),P.J. Tucker,18297298,UTIL,4400,MIL@PHO 07/06/2021 09:00PM ET,MIL,13.20
SF/PF,Cameron Johnson (18297333),Cameron Johnson,18297333,CPT,4200,MIL@PHO 07/06/2021 09:00PM ET,PHO,17.75
SG/SF,Torrey Craig (18297299),Torrey Craig,18297299,UTIL,3800,MIL@PHO 07/06/2021 09:00PM ET,PHO,13.40
PG/SG,Bryn Forbes (18297334),Bryn Forbes,18297334,CPT,3600,MIL@PHO 07/06/2021 09:00PM ET,MIL,13.77
PF/C,Dario Saric (18297335),Dario Saric,18297335,CPT,3000,MIL@PHO 07/06/2021 09:00PM ET,PHO,15.37
SF/PF,Cameron Johnson (18297300),Cameron Johnson,18297300,UTIL,2800,MIL@PHO 07/06/2021 09:00PM ET,PHO,17.75
PG/SG,Bryn Forbes (18297301),Bryn Forbes,18297301,UTIL,2400,MIL@PHO 07/06/2021 09:00PM ET,MIL,13.77
PG,Jeff Teague (18297336),Jeff Teague,18297336,CPT,2400,MIL@PHO 07/06/2021 09:00PM ET,MIL,12.27
PF/C,Dario Saric (18297302),Dario Saric,18297302,UTIL,2000,MIL@PHO 07/06/2021 09:00PM ET,PHO,15.37
SF/PF,Abdel Nader (18297337),Abdel Nader,18297337,CPT,1800,MIL@PHO 07/06/2021 09:00PM ET,PHO,11.62
PG,Jeff Teague (18297303),Jeff Teague,18297303,UTIL,1600,MIL@PHO 07/06/2021 09:00PM ET,MIL,12.27
PF,Thanasis Antetokounmpo (18297338),Thanasis Antetokounmpo,18297338,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,6.84
SG/SF,E'Twaun Moore (18297339),E'Twaun Moore,18297339,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,PHO,9.62
SF/PF,Jordan Nwora (18297340),Jordan Nwora,18297340,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,9.91
PF,Justin Jackson (18297341),Justin Jackson,18297341,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,11.97
C,Frank Kaminsky (18297342),Frank Kaminsky,18297342,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,PHO,14.65
PG/SG,Jevon Carter (18297343),Jevon Carter,18297343,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,PHO,8.68
PF/C,Mamadi Diakite (18297344),Mamadi Diakite,18297344,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,6.82
PG/SG,Langston Galloway (18297345),Langston Galloway,18297345,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,PHO,7.55
SG,Elijah Bryant (18297346),Elijah Bryant,18297346,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,6.23
PG,Donte DiVincenzo (18297347),Donte DiVincenzo,18297347,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,24.91
PG/SG,Sam Merrill (18297348),Sam Merrill,18297348,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,5.47
SF,Axel Toupane (18297349),Axel Toupane,18297349,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,MIL,4.04
PG,Ty-Shon Alexander (18297350),Ty-Shon Alexander,18297350,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,PHO,2.13
C,Jalen Smith (18297351),Jalen Smith,18297351,CPT,1500,MIL@PHO 07/06/2021 09:00PM ET,PHO,3.88
SF/PF,Abdel Nader (18297304),Abdel Nader,18297304,UTIL,1200,MIL@PHO 07/06/2021 09:00PM ET,PHO,11.62
PF,Thanasis Antetokounmpo (18297305),Thanasis Antetokounmpo,18297305,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,6.84
SG/SF,E'Twaun Moore (18297306),E'Twaun Moore,18297306,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,PHO,9.62
SF/PF,Jordan Nwora (18297307),Jordan Nwora,18297307,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,9.91
PF,Justin Jackson (18297308),Justin Jackson,18297308,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,11.97
C,Frank Kaminsky (18297309),Frank Kaminsky,18297309,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,PHO,14.65
PG/SG,Jevon Carter (18297310),Jevon Carter,18297310,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,PHO,8.68
PF/C,Mamadi Diakite (18297311),Mamadi Diakite,18297311,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,6.82
PG/SG,Langston Galloway (18297312),Langston Galloway,18297312,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,PHO,7.55
SG,Elijah Bryant (18297313),Elijah Bryant,18297313,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,6.23
PG,Donte DiVincenzo (18297314),Donte DiVincenzo,18297314,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,24.91
PG/SG,Sam Merrill (18297315),Sam Merrill,18297315,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,5.47
SF,Axel Toupane (18297316),Axel Toupane,18297316,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,MIL,4.04
PG,Ty-Shon Alexander (18297317),Ty-Shon Alexander,18297317,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,PHO,2.13
C,Jalen Smith (18297318),Jalen Smith,18297318,UTIL,1000,MIL@PHO 07/06/2021 09:00PM ET,PHO,3.88
