Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (18276250),Giannis Antetokounmpo,18276250,CPT,16200,MIL@ATL 07/03/2021 08:30PM ET,MIL,55.66
SG/SF,Khris Middleton (18276251),Khris Middleton,18276251,CPT,15600,MIL@ATL 07/03/2021 08:30PM ET,MIL,39.58
PG,Trae Young (18276252),Trae Young,18276252,CPT,15300,MIL@ATL 07/03/2021 08:30PM ET,ATL,46.88
PG/SG,Jrue Holiday (18276253),Jrue Holiday,18276253,CPT,14400,MIL@ATL 07/03/2021 08:30PM ET,MIL,37.64
PG/SG,Bogdan Bogdanovic (18276254),Bogdan Bogdanovic,18276254,CPT,13200,MIL@ATL 07/03/2021 08:30PM ET,ATL,29.19
PF/C,John Collins (18276255),John Collins,18276255,CPT,12300,MIL@ATL 07/03/2021 08:30PM ET,ATL,31.39
SG/SF,Kevin Huerter (18276256),Kevin Huerter,18276256,CPT,11700,MIL@ATL 07/03/2021 08:30PM ET,ATL,24.59
PF/C,Giannis Antetokounmpo (18276216),Giannis Antetokounmpo,18276216,UTIL,10800,MIL@ATL 07/03/2021 08:30PM ET,MIL,55.66
C,Brook Lopez (18276257),Brook Lopez,18276257,CPT,10800,MIL@ATL 07/03/2021 08:30PM ET,MIL,24.40
SG/SF,Khris Middleton (18276217),Khris Middleton,18276217,UTIL,10400,MIL@ATL 07/03/2021 08:30PM ET,MIL,39.58
PG,Trae Young (18276218),Trae Young,18276218,UTIL,10200,MIL@ATL 07/03/2021 08:30PM ET,ATL,46.88
C,Clint Capela (18276258),Clint Capela,18276258,CPT,9900,MIL@ATL 07/03/2021 08:30PM ET,ATL,37.95
PG/SG,Jrue Holiday (18276219),Jrue Holiday,18276219,UTIL,9600,MIL@ATL 07/03/2021 08:30PM ET,MIL,37.64
PF/C,Bobby Portis (18276259),Bobby Portis,18276259,CPT,9300,MIL@ATL 07/03/2021 08:30PM ET,MIL,23.71
PG/SG,Bogdan Bogdanovic (18276220),Bogdan Bogdanovic,18276220,UTIL,8800,MIL@ATL 07/03/2021 08:30PM ET,ATL,29.19
PF/C,John Collins (18276221),John Collins,18276221,UTIL,8200,MIL@ATL 07/03/2021 08:30PM ET,ATL,31.39
SG/SF,Kevin Huerter (18276222),Kevin Huerter,18276222,UTIL,7800,MIL@ATL 07/03/2021 08:30PM ET,ATL,24.59
PG/SG,Lou Williams (18276260),Lou Williams,18276260,CPT,7800,MIL@ATL 07/03/2021 08:30PM ET,ATL,19.20
C,Brook Lopez (18276223),Brook Lopez,18276223,UTIL,7200,MIL@ATL 07/03/2021 08:30PM ET,MIL,24.40
C,Clint Capela (18276224),Clint Capela,18276224,UTIL,6600,MIL@ATL 07/03/2021 08:30PM ET,ATL,37.95
SF/PF,P.J. Tucker (18276261),P.J. Tucker,18276261,CPT,6600,MIL@ATL 07/03/2021 08:30PM ET,MIL,13.09
