Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Bobby Portis (18276225),Bobby Portis,18276225,UTIL,6200,MIL@ATL 07/03/2021 08:30PM ET,MIL,23.71
PF,Danilo Gallinari (18276262),Danilo Gallinari,18276262,CPT,5700,MIL@ATL 07/03/2021 08:30PM ET,ATL,22.20
PG/SG,Lou Williams (18276226),Lou Williams,18276226,UTIL,5200,MIL@ATL 07/03/2021 08:30PM ET,ATL,19.20
SG/SF,Cam Reddish (18276263),Cam Reddish,18276263,CPT,5100,MIL@ATL 07/03/2021 08:30PM ET,ATL,21.42
SF/PF,P.J. Tucker (18276227),P.J. Tucker,18276227,UTIL,4400,MIL@ATL 07/03/2021 08:30PM ET,MIL,13.09
SG/SF,Pat Connaughton (18276264),Pat Connaughton,18276264,CPT,3900,MIL@ATL 07/03/2021 08:30PM ET,MIL,16.41
PF,Danilo Gallinari (18276228),Danilo Gallinari,18276228,UTIL,3800,MIL@ATL 07/03/2021 08:30PM ET,ATL,22.20
SG/SF,Cam Reddish (18276229),Cam Reddish,18276229,UTIL,3400,MIL@ATL 07/03/2021 08:30PM ET,ATL,21.42
C,Onyeka Okongwu (18276265),Onyeka Okongwu,18276265,CPT,3000,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.40
SG/SF,Pat Connaughton (18276230),Pat Connaughton,18276230,UTIL,2600,MIL@ATL 07/03/2021 08:30PM ET,MIL,16.41
PG/SG,Bryn Forbes (18276266),Bryn Forbes,18276266,CPT,2400,MIL@ATL 07/03/2021 08:30PM ET,MIL,13.80
C,Onyeka Okongwu (18276231),Onyeka Okongwu,18276231,UTIL,2000,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.40
PG/SF,Kris Dunn (18276267),Kris Dunn,18276267,CPT,1800,MIL@ATL 07/03/2021 08:30PM ET,ATL,5.97
PG/SG,Bryn Forbes (18276232),Bryn Forbes,18276232,UTIL,1600,MIL@ATL 07/03/2021 08:30PM ET,MIL,13.80
PF,Thanasis Antetokounmpo (18276268),Thanasis Antetokounmpo,18276268,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,6.92
SF/PF,Solomon Hill (18276269),Solomon Hill,18276269,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.53
SF/PF,Jordan Nwora (18276270),Jordan Nwora,18276270,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,9.91
PG,Jeff Teague (18276271),Jeff Teague,18276271,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,12.25
PF,Justin Jackson (18276272),Justin Jackson,18276272,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,11.97
SG/SF,Tony Snell (18276273),Tony Snell,18276273,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.08
PF/C,Mamadi Diakite (18276274),Mamadi Diakite,18276274,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,6.82
PF/C,Nathan Knight (18276275),Nathan Knight,18276275,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,7.28
PG,Skylar Mays (18276276),Skylar Mays,18276276,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,6.74
SG,Elijah Bryant (18276277),Elijah Bryant,18276277,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,6.23
C,Bruno Fernando (18276278),Bruno Fernando,18276278,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,4.59
PG,Donte DiVincenzo (18276279),Donte DiVincenzo,18276279,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,24.91
PF,De'Andre Hunter (18276280),De'Andre Hunter,18276280,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,25.11
PG/SG,Sam Merrill (18276281),Sam Merrill,18276281,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,5.47
SG,Brandon Goodwin (18276282),Brandon Goodwin,18276282,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.40
SF,Axel Toupane (18276283),Axel Toupane,18276283,CPT,1500,MIL@ATL 07/03/2021 08:30PM ET,MIL,4.04
PG/SF,Kris Dunn (18276233),Kris Dunn,18276233,UTIL,1200,MIL@ATL 07/03/2021 08:30PM ET,ATL,5.97
PF,Thanasis Antetokounmpo (18276234),Thanasis Antetokounmpo,18276234,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,6.92
SF/PF,Solomon Hill (18276235),Solomon Hill,18276235,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.53
SF/PF,Jordan Nwora (18276236),Jordan Nwora,18276236,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,9.91
PG,Jeff Teague (18276237),Jeff Teague,18276237,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,12.25
PF,Justin Jackson (18276238),Justin Jackson,18276238,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,11.97
SG/SF,Tony Snell (18276239),Tony Snell,18276239,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.08
PF/C,Mamadi Diakite (18276240),Mamadi Diakite,18276240,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,6.82
PF/C,Nathan Knight (18276241),Nathan Knight,18276241,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,7.28
PG,Skylar Mays (18276242),Skylar Mays,18276242,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,6.74
SG,Elijah Bryant (18276243),Elijah Bryant,18276243,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,6.23
C,Bruno Fernando (18276244),Bruno Fernando,18276244,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,4.59
PG,Donte DiVincenzo (18276245),Donte DiVincenzo,18276245,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,24.91
PF,De'Andre Hunter (18276246),De'Andre Hunter,18276246,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,25.11
PG/SG,Sam Merrill (18276247),Sam Merrill,18276247,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,5.47
SG,Brandon Goodwin (18276248),Brandon Goodwin,18276248,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,ATL,10.40
SF,Axel Toupane (18276249),Axel Toupane,18276249,UTIL,1000,MIL@ATL 07/03/2021 08:30PM ET,MIL,4.04
