,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,WINS,RECORD,WIN PCT,COST
96,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Torrey Craig,Dario Saric,250118,250118-247882-0,0.5022449799196788,50000.0
97,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Pat Connaughton,Dario Saric,249914,249914-248086-0,0.5018353413654618,49200.0
98,Jrue Holiday,Khris Middleton,Devin Booker,Mikal Bridges,Cameron Payne,P.J. Tucker,249844,249844-248156-0,0.5016947791164659,48800.0
99,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,Jevon Carter,249499,249499-248501-0,0.5010020080321285,49400.0
100,P.J. Tucker,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,249459,249459-248541-0,0.500921686746988,48800.0
101,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,E'Twaun Moore,249177,249177-248823-0,0.500355421686747,48800.0
102,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Pat Connaughton,Bryn Forbes,249122,249122-248878-0,0.5002449799196788,50000.0
103,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,P.J. Tucker,Dario Saric,248983,248983-249017-0,0.4999658634538153,49800.0
104,Jrue Holiday,Khris Middleton,Devin Booker,Brook Lopez,Cameron Payne,Cameron Johnson,248519,248519-249481-0,0.4990341365461847,48600.0
105,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,Abdel Nader,248402,248402-249598-0,0.49879919678714857,50000.0
106,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Jeff Teague,248182,248182-249818-0,0.4983574297188755,49800.0
107,Khris Middleton,Jrue Holiday,Deandre Ayton,Brook Lopez,Jae Crowder,Cameron Johnson,247906,247906-250094-0,0.4978032128514056,49000.0
108,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Dario Saric,247879,247879-250121-0,0.49774899598393574,48200.0
109,Devin Booker,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Johnson,Dario Saric,247656,247656-250344-0,0.4973012048192771,48600.0
