,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,PRJ,PRJ*MIN,COST
92,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,Bryn Forbes,228.59687500000004,7.645257496354168,49700.0
93,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,P.J. Tucker,Cameron Johnson,228.56250000000003,8.593649466666667,49400.0
94,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,Jevon Carter,228.55625,8.218752103125,49800.0
95,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Mikal Bridges,Thanasis Antetokounmpo,228.50625,8.260787494791668,50000.0
96,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,E'Twaun Moore,228.49687500000005,7.590377746354168,48300.0
97,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Langston Galloway,228.49687500000002,7.935454246354167,49700.0
98,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,Frank Kaminsky,228.49375000000003,8.340628528125002,49000.0
99,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Pat Connaughton,Frank Kaminsky,228.45625,8.266090819791668,50000.0
100,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Payne,Thanasis Antetokounmpo,228.44687500000003,7.904659521354168,49500.0
101,Chris Paul,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,E'Twaun Moore,228.446875,7.835421533854167,49700.0
102,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Jeff Teague,228.40520833333338,7.909536922743057,49900.0
103,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Axel Toupane,228.39687500000002,8.149050213020836,49300.0
104,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Jeff Teague,228.3770833333334,8.09933926701389,49800.0
105,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,Cameron Payne,Cameron Johnson,228.34375000000003,7.703428069791668,49000.0
106,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Abdel Nader,228.31354166666668,8.155531713020835,49500.0
107,Cameron Johnson,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Bobby Portis,228.30982142857147,7.619770745386906,50000.0
108,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,Bryn Forbes,228.30625,8.216340186458334,49800.0
109,Cameron Johnson,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Brook Lopez,228.23125,7.797104890625001,49400.0
110,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,Cameron Johnson,228.22500000000002,8.299966691666667,49800.0
111,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,E'Twaun Moore,228.20625,8.161460436458334,48400.0
112,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Torrey Craig,Dario Saric,228.17187500000003,7.810991171354168,49700.0
113,Devin Booker,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,Frank Kaminsky,228.15625000000006,8.046945753125001,49400.0
